{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.5, 'pad_offset': 0.0, 'pad_onset': 0.0, 'filter_speech_first': True}, {'DetER (%)': 12.27886662562742, 'FA (%)': 1.082145938424164, 'MISS (%)': 11.196720687203253}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.5, 'pad_offset': 0.0, 'pad_onset': 0.1, 'filter_speech_first': True}, {'DetER (%)': 10.595130389371912, 'FA (%)': 1.5245687891325492, 'MISS (%)': 9.070561600239364}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.5, 'pad_offset': 0.0, 'pad_onset': 0.2, 'filter_speech_first': True}, {'DetER (%)': 9.725644753295265, 'FA (%)': 2.1633299760912252, 'MISS (%)': 7.562314777204041}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.5, 'pad_offset': 0.0, 'pad_onset': 0.0, 'filter_speech_first': True}, {'DetER (%)': 12.27886662562742, 'FA (%)': 1.082145938424164, 'MISS (%)': 11.196720687203253}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.5, 'pad_offset': 0.0, 'pad_onset': 0.1, 'filter_speech_first': True}, {'DetER (%)': 10.595130389371912, 'FA (%)': 1.5245687891325492, 'MISS (%)': 9.070561600239364}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.5, 'pad_offset': 0.0, 'pad_onset': 0.2, 'filter_speech_first': True}, {'DetER (%)': 9.725644753295265, 'FA (%)': 2.1633299760912252, 'MISS (%)': 7.562314777204041}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.5, 'pad_offset': 0.0, 'pad_onset': 0.3, 'filter_speech_first': True}, {'DetER (%)': 9.212369543474223, 'FA (%)': 2.8956730255448826, 'MISS (%)': 6.316696517929341}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.5, 'pad_offset': 0.0, 'pad_onset': 0.4, 'filter_speech_first': True}, {'DetER (%)': 8.865694211363074, 'FA (%)': 3.6503253215491243, 'MISS (%)': 5.215368889813951}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.5, 'pad_offset': 0.1, 'pad_onset': 0.0, 'filter_speech_first': True}, {'DetER (%)': 10.629256255667753, 'FA (%)': 1.5427175390289827, 'MISS (%)': 9.086538716638769}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.5, 'pad_offset': 0.1, 'pad_onset': 0.1, 'filter_speech_first': True}, {'DetER (%)': 9.277303592073059, 'FA (%)': 1.940077960125193, 'MISS (%)': 7.337225631947867}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.5, 'pad_offset': 0.1, 'pad_onset': 0.2, 'filter_speech_first': True}, {'DetER (%)': 8.534264224592512, 'FA (%)': 2.557539850348291, 'MISS (%)': 5.976724374244221}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.5, 'pad_offset': 0.1, 'pad_onset': 0.3, 'filter_speech_first': True}, {'DetER (%)': 8.108588654608596, 'FA (%)': 3.2727376625261595, 'MISS (%)': 4.835850992082437}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.5, 'pad_offset': 0.1, 'pad_onset': 0.4, 'filter_speech_first': True}, {'DetER (%)': 7.850681083210964, 'FA (%)': 4.0116165333525196, 'MISS (%)': 3.839064549858444}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.5, 'pad_offset': 0.2, 'pad_onset': 0.0, 'filter_speech_first': True}, {'DetER (%)': 9.667495737450825, 'FA (%)': 2.1361362784208686, 'MISS (%)': 7.5313594590299555}
